vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Bouché-M;. – O. boucheanum (KUNTH) ASCH.;Bouché-M.;O. boucheanum (KUNTH) ASCH.;O. boucheanum (KUNTH) ASCH.;O. boucheanum (KUNTH) ASCH.;O. boucheanum (KUNTH) ASCH.;O. boucheanum
Pyramiden-M., Kurzgriffliger M.;– O. pyramidale L.6* Untere BStiele ±1,5;Pyramiden-M., Kurzgriffliger M.;O. pyramidale L.6* Untere BStiele ±1,5;O. pyramidale L.6* Untere BStiele ±1,5;O. pyramidale L.;O. pyramidale L.;O. pyramidale
Narbonne-M.;– O. narbonense L.;Narbonne-M.;O. narbonense L.;O. narbonense L.;O. narbonense L.;O. narbonense L.;O. narbonense
Pyrenäen-M;. – A. pyrenaica LAM.16 (14) BStiel meis;Pyrenäen-M.;A. pyrenaica LAM.16 (14) BStiel meis;A. pyrenaica LAM.16 (14) BStiel meis;A. pyrenaica LAM.;A. pyrenaica LAM.;A. pyrenaica
Kap-M., Chincherinchee;– O. thyrsoides JACQ.;Kap-M., Chincherinchee;O. thyrsoides JACQ.;O. thyrsoides JACQ.;O. thyrsoides JACQ.;O. thyrsoides JACQ.;O. thyrsoides
Gefleckte Sch., Gefleckte A.;– Eu. comosa H. R. WEHRH.1* Bl am Grund ;Gefleckte Sch., Gefleckte A.;Eu. comosa H. R. WEHRH.1* Bl am Grund ;Eu. comosa H. R. WEHRH.1* Bl am Grund ;Eu. comosa H. R. WEHRH.;Eu. comosa H. R. WEHRH.;Eu. comosa
Gerandete Sch.;– Eu. bicolor BAKER;Gerandete Sch.;Eu. bicolor BAKER;Eu. bicolor BAKER;Eu. bicolor BAKER;Eu. bicolor BAKER;Eu. bicolor
Gewellte Sch.;– Eu. autumnalis (MILL.) CHITT.;Gewellte Sch.;Eu. autumnalis (MILL.) CHITT.;Eu. autumnalis (MILL.) CHITT.;Eu. autumnalis (MILL.) CHITT.;Eu. autumnalis (MILL.) CHITT.;Eu. autumnalis
Riviera-H.;– H. italica (L.) ROTHM.1* Perigon > 1 c;Riviera-H.;H. italica (L.) ROTHM.1* Perigon > 1 c;H. italica (L.) ROTHM.1* Perigon > 1 c;H. italica (L.) ROTHM.;H. italica (L.) ROTHM.;H. italica
Englisches H.;– H. non-scripta (L.) CHOUARD ex ROTHM.2;Englisches H.;H. non-scripta (L.) CHOUARD ex ROTHM.2;H. non-scripta (L.) CHOUARD ex ROTHM.2;H. non-scripta (L.) CHOUARD ex ROTHM.;H. non-scripta (L.) CHOUARD ex ROTHM.;H. non-scripta
Spanisches H.;– H. hispanica (MILL.) ROTHM.;Spanisches H.;H. hispanica (MILL.) ROTHM.;H. hispanica (MILL.) ROTHM.;H. hispanica (MILL.) ROTHM.;H. hispanica (MILL.) ROTHM.;H. hispanica
Hellblaue W.;– B. amethystina (L.) CHOUARD;Hellblaue W.;B. amethystina (L.) CHOUARD;B. amethystina (L.) CHOUARD;B. amethystina (L.) CHOUARD;B. amethystina (L.) CHOUARD;B. amethystina
Bleiches H.;– H. pallens SCHUR;Bleiches H.;H. pallens SCHUR;H. pallens SCHUR;H. pallens SCHUR;H. pallens SCHUR;H. pallens
Peruanischer B.;(Name irreführend!) – Sc. peruviana L.1*;Peruanischer B.;Sc. peruviana L.1*;Sc. peruviana L.1*;Sc. peruviana L.;Sc. peruviana L.;Sc. peruviana
Herbst-B.;– Sc. autumnalis L.3* BStand 20–80blütig;Herbst-B.;Sc. autumnalis L.3* BStand 20–80blütig;Sc. autumnalis L.3* BStand 20–80blütig;Sc. autumnalis L.;Sc. autumnalis L.;Sc. autumnalis
Ostasiatischer B.;– Sc. scilloides (LINDL.) DRUCE;Ostasiatischer B.;Sc. scilloides (LINDL.) DRUCE;Sc. scilloides (LINDL.) DRUCE;Sc. scilloides (LINDL.) DRUCE;Sc. scilloides (LINDL.) DRUCE;Sc. scilloides
Amethyst-B.,Wiesen-B;. – Sc. litardierei BREISTR.5* Bl 4–12, ;Amethyst-B.,Wiesen-B.;Sc. litardierei BREISTR.5* Bl 4–12, ;Sc. litardierei BREISTR.5* Bl 4–12, ;Sc. litardierei BREISTR.;Sc. litardierei BREISTR.;Sc. litardierei
Hyazinthen-B;. – Sc. hyacinthoides L.6 (4) Untere Dec;Hyazinthen-B.;Sc. hyacinthoides L.6 (4) Untere Dec;Sc. hyacinthoides L.6 (4) Untere Dec;Sc. hyacinthoides L.;Sc. hyacinthoides L.;Sc. hyacinthoides
Hohenacker-B.;– Sc. hohenackeri FISCH. et C. A. MEY.Se;Hohenacker-B.;Sc. hohenackeri FISCH. et C. A. MEY.Se;Sc. hohenackeri FISCH. et C. A. MEY.Se;Sc. hohenackeri FISCH. et C. A. MEY.Se;Sc. hohenackeri FISCH. et C. A. MEY.Se;Sc. hohenackeri
Mischtschenko-B.;– Sc. mischtschenkoana GROSSH.;Mischtschenko-B.;Sc. mischtschenkoana GROSSH.;Sc. mischtschenkoana GROSSH.;Sc. mischtschenkoana GROSSH.;Sc. mischtschenkoana GROSSH.;Sc. mischtschenkoana
Russischer B., Sibirischer B.;(Name irreführend!) – Sc. siberica HAW.1;Russischer B., Sibirischer B.;Sc. siberica HAW.1;Sc. siberica HAW.1;Sc. siberica HAW.;Sc. siberica HAW.;Sc. siberica
Alpenveilchen-B.;– Sc. rosenii K. KOCH;Alpenveilchen-B.;Sc. rosenii K. KOCH;Sc. rosenii K. KOCH;Sc. rosenii K. KOCH;Sc. rosenii K. KOCH;Sc. rosenii
Zweiblättriger B.;– Sc. bifolia L. s. l.Bem.: SPETA 1981 u;Zweiblättriger B.;Sc. bifolia L. s. l.Bem.: SPETA 1981 u;Sc. bifolia L. s. l.Bem.: SPETA 1981 u;Sc. bifolia L. s. l.Bem.;Sc. bifolia L. s. l.Bem.;Sc. bifolia
Puschkinien-B.;– Sc. puschkinioides REGEL;Puschkinien-B.;Sc. puschkinioides REGEL;Sc. puschkinioides REGEL;Sc. puschkinioides REGEL;Sc. puschkinioides REGEL;Sc. puschkinioides
Schöner B.;– Sc. amoena L.Schneestolz, Sternhyazint;Schöner B.;Sc. amoena L.Schneestolz, Sternhyazint;Sc. amoena L.Schneestolz, Sternhyazint;Sc. amoena L.Schneestolz, Sternhyazint;Sc. amoena L.Schneestolz, Sternhyazint;Sc. amoena
Dunkle St.;– Ch. sardensis WHITTALL ex BARR et SUGD;Dunkle St.;Ch. sardensis WHITTALL ex BARR et SUGD;Ch. sardensis WHITTALL ex BARR et SUGD;Ch. sardensis WHITTALL ex BARR et SUGD;Ch. sardensis WHITTALL ex BARR et SUGD;Ch. sardensis
Gewöhnliche St., Große St.;– Ch. forbesii BAKER s. l.Bem.: SPETA un;Gewöhnliche St., Große St.;Ch. forbesii BAKER s. l.Bem.: SPETA un;Ch. forbesii BAKER s. l.Bem.: SPETA un;Ch. forbesii BAKER s. l.Bem.;Ch. forbesii BAKER s. l.Bem.;Ch. forbesii
Echte St., Luziliens Schneestolz;– Ch. luciliae BOISS.3* Perigonzipfel 6–;Echte St., Luziliens Schneestolz;Ch. luciliae BOISS.3* Perigonzipfel 6–;Ch. luciliae BOISS.3* Perigonzipfel 6–;Ch. luciliae BOISS.;Ch. luciliae BOISS.;Ch. luciliae
Kleine St.;– A. minor L.: Hülle häutig, nicht steif;Kleine St.;A. minor L.: Hülle häutig, nicht steif;A. minor L.: Hülle häutig, nicht steif;A. minor L.;A. minor L.;A. minor
Schopf-T.;– M. comosum (L.) MILL.2* BTraube ohne o;Schopf-T.;M. comosum (L.) MILL.2* BTraube ohne o;M. comosum (L.) MILL.2* BTraube ohne o;M. comosum (L.) MILL.;M. comosum (L.) MILL.;M. comosum
Großfrüchtiges T.;– M. macrocarpum SWEET;Großfrüchtiges T.;M. macrocarpum SWEET;M. macrocarpum SWEET;M. macrocarpum SWEET;M. macrocarpum SWEET;M. macrocarpum
Moschus- T.;– M. muscarimi MEDIK.4 (1) Perigon glock;Moschus- T.;M. muscarimi MEDIK.4 (1) Perigon glock;M. muscarimi MEDIK.4 (1) Perigon glock;M. muscarimi MEDIK.;M. muscarimi MEDIK.;M. muscarimi
Himmelblaues T., Scheinhyazinthe;– M. azureum FENZL;Himmelblaues T., Scheinhyazinthe;M. azureum FENZL;M. azureum FENZL;M. azureum FENZL;M. azureum FENZL;M. azureum
Weinbergs-T., Übersehenes T.;– M. neglectum GUSS. ex TEN.Ähnlich: Ver;Weinbergs-T., Übersehenes T.;M. neglectum GUSS. ex TEN.Ähnlich: Ver;M. neglectum GUSS. ex TEN.Ähnlich: Ver;M. neglectum GUSS. ex TEN.;M. neglectum GUSS. ex TEN.;M. neglectum
Breitblättriges T.;– M. latifolium KIRK;Breitblättriges T.;M. latifolium KIRK;M. latifolium KIRK;M. latifolium KIRK;M. latifolium KIRK;M. latifolium
Armenisches T.;– M. armeniacum LEICHTLIN ex BAKER;Armenisches T.;M. armeniacum LEICHTLIN ex BAKER;M. armeniacum LEICHTLIN ex BAKER;M. armeniacum LEICHTLIN ex BAKER;M. armeniacum LEICHTLIN ex BAKER;M. armeniacum
Aucher-T;. – M. aucheri (BOISS.) BAKER8* Bl 2–3, ;Aucher-T.;M. aucheri (BOISS.) BAKER8* Bl 2–3, ;M. aucheri (BOISS.) BAKER8* Bl 2–3, ;M. aucheri (BOISS.) BAKER;M. aucheri (BOISS.) BAKER;M. aucheri
Kleines T.;– M. botryoides (L.) MILL.;Kleines T.;M. botryoides (L.) MILL.;M. botryoides (L.) MILL.;M. botryoides (L.) MILL.;M. botryoides (L.) MILL.;M. botryoides
Bewimperte B;. – B. ciliata (CIRILLO) NEES1* BStiele ;Bewimperte B.;B. ciliata (CIRILLO) NEES1* BStiele ;B. ciliata (CIRILLO) NEES1* BStiele ;B. ciliata (CIRILLO) NEES;B. ciliata (CIRILLO) NEES;B. ciliata
Römische B., Römische Hyazinthe;– B. romana (L.) RCHB.;Römische B., Römische Hyazinthe;B. romana (L.) RCHB.;B. romana (L.) RCHB.;B. romana (L.) RCHB.;B. romana (L.) RCHB.;B. romana
Dichtblütige B.;– B. pycnantha (K. KOCH) LOSINSK.;Dichtblütige B.;B. pycnantha (K. KOCH) LOSINSK.;B. pycnantha (K. KOCH) LOSINSK.;B. pycnantha (K. KOCH) LOSINSK.;B. pycnantha (K. KOCH) LOSINSK.;B. pycnantha
Trauben-G., Große G., Astlose G.;– A. liliago L.1* BStand meist eine verz;Trauben-G., Große G., Astlose G.;A. liliago L.1* BStand meist eine verz;A. liliago L.1* BStand meist eine verz;A. liliago L.;A. liliago L.;A. liliago
Ästige G.;– A. ramosum L.;Ästige G.;A. ramosum L.;A. ramosum L.;A. ramosum L.;A. ramosum L.;A. ramosum
Alpen-P.;– P. marginata CURTIS;Alpen-P.;P. marginata CURTIS;P. marginata CURTIS;P. marginata CURTIS;P. marginata CURTIS;P. marginata
Blaublatt-F.;– H. sieboldiana ENGL.Mehrere Sorten, z.;Blaublatt-F.;H. sieboldiana ENGL.Mehrere Sorten, z.;H. sieboldiana ENGL.Mehrere Sorten, z.;H. sieboldiana ENGL.Mehrere Sorten, z.;H. sieboldiana ENGL.Mehrere Sorten, z.;H. sieboldiana
Graublatt-F.;– H. ‘Fortunei’;Graublatt-F.;H. ‘Fortunei’;H. ‘Fortunei’;H. ‘Fortunei’;H. ‘Fortunei’;H. ‘Fortunei’
Weißrand- F;. – H. sieboldii (PAXTON) INGRAM;Weißrand- F.;H. sieboldii (PAXTON) INGRAM;H. sieboldii (PAXTON) INGRAM;H. sieboldii (PAXTON) INGRAM;H. sieboldii (PAXTON) INGRAM;H. sieboldii
Herbst-F.;– H. ‘Tardiflora’;Herbst-F.;H. ‘Tardiflora’;H. ‘Tardiflora’;H. ‘Tardiflora’;H. ‘Tardiflora’;H. ‘Tardiflora’
Lanzen-F.;– H. ‘Lancifolia’Ähnlich: Zierliche Weiß;Lanzen-F.;H. ‘Lancifolia’Ähnlich: Zierliche Weiß;H. ‘Lancifolia’Ähnlich: Zierliche Weiß;H. ‘Lancifolia’;H. ‘Lancifolia’;H. ‘Lancifolia’
Lilien-F.;– H. plantaginea (LAM.) ASCH.;Lilien-F.;H. plantaginea (LAM.) ASCH.;H. plantaginea (LAM.) ASCH.;H. plantaginea (LAM.) ASCH.;H. plantaginea (LAM.) ASCH.;H. plantaginea
Glocken-F.;– H. ventricosa STEARN;Glocken-F.;H. ventricosa STEARN;H. ventricosa STEARN;H. ventricosa STEARN;H. ventricosa STEARN;H. ventricosa
Grüne Riesen-F.;– H. ‘Elata’;Grüne Riesen-F.;H. ‘Elata’;H. ‘Elata’;H. ‘Elata’;H. ‘Elata’;H. ‘Elata’
Riesen-Weißrand-F.;– H. ‘Crispula’9* BlRand stark gewellt. ;Riesen-Weißrand-F.;H. ‘Crispula’9* BlRand stark gewellt. ;H. ‘Crispula’9* BlRand stark gewellt. ;H. ‘Crispula’;H. ‘Crispula’;H. ‘Crispula’
Schneefeder-F.;– H. ‘Undulata’;Schneefeder-F.;H. ‘Undulata’;H. ‘Undulata’;H. ‘Undulata’;H. ‘Undulata’;H. ‘Undulata’
Amerikanische A., Hundertjährige A.;– A. americana L.;Amerikanische A., Hundertjährige A.;A. americana L.;A. americana L.;A. americana L.;A. americana L.;A. americana
Mescal-A., Parry-A.;– A. parryi ENGELM. 2* Bl lineal-lanzett;Mescal-A., Parry-A.;A. parryi ENGELM. 2* Bl lineal-lanzett;A. parryi ENGELM. 2* Bl lineal-lanzett;A. parryi ENGELM. ;A. parryi ENGELM. ;A. parryi
Toumey-A.;– A. toumeyana TREL.3* BlRand ± gezähnt ;Toumey-A.;A. toumeyana TREL.3* BlRand ± gezähnt ;A. toumeyana TREL.3* BlRand ± gezähnt ;A. toumeyana TREL.;A. toumeyana TREL.;A. toumeyana
Lechuguilla-A., Ixtlefaser;– A. lechuguilla TORR.;Lechuguilla-A., Ixtlefaser;A. lechuguilla TORR.;A. lechuguilla TORR.;A. lechuguilla TORR.;A. lechuguilla TORR.;A. lechuguilla
Utah-A;. – A. utahensis ENGELM.Palmlilie – Yucc;Utah-A.;A. utahensis ENGELM.Palmlilie – Yucc;A. utahensis ENGELM.Palmlilie – Yucc;A. utahensis ENGELM.Palmlilie – Yucc;A. utahensis ENGELM.Palmlilie – Yucc;A. utahensis
Gekrümmte P.;– Y. recurvifolia SALISB.Ähnlich: Herrli;Gekrümmte P.;Y. recurvifolia SALISB.Ähnlich: Herrli;Y. recurvifolia SALISB.Ähnlich: Herrli;Y. recurvifolia SALISB.;Y. recurvifolia SALISB.;Y. recurvifolia
Blaugrüne P.;– Y. glauca NUTT.;Blaugrüne P.;Y. glauca NUTT.;Y. glauca NUTT.;Y. glauca NUTT.;Y. glauca NUTT.;Y. glauca
Fädige P.;– Y. filamentosa L.Ähnlich: Schlaffe P. ;Fädige P.;Y. filamentosa L.Ähnlich: Schlaffe P. ;Y. filamentosa L.Ähnlich: Schlaffe P. ;Y. filamentosa L.;Y. filamentosa L.;Y. filamentosa
Röhrenblütige B.;– A. inapertus P. BEAUV.;Röhrenblütige B.;A. inapertus P. BEAUV.;A. inapertus P. BEAUV.;A. inapertus P. BEAUV.;A. inapertus P. BEAUV.;A. inapertus
Glockige B.;– A. campanulatus LEIGHT.2* Pfl immergrü;Glockige B.;A. campanulatus LEIGHT.2* Pfl immergrü;A. campanulatus LEIGHT.2* Pfl immergrü;A. campanulatus LEIGHT.;A. campanulatus LEIGHT.;A. campanulatus
Afrikanische B.;– A. africanus (L.) HOFFMANNS.;Afrikanische B.;A. africanus (L.) HOFFMANNS.;A. africanus (L.) HOFFMANNS.;A. africanus (L.) HOFFMANNS.;A. africanus (L.) HOFFMANNS.;A. africanus
Frühe B., Immergrüne B.;– A. praecox WILLD.;Frühe B., Immergrüne B.;A. praecox WILLD.;A. praecox WILLD.;A. praecox WILLD.;A. praecox WILLD.;A. praecox
Busch-H.;– C. moorei HOOK. f.1* Bl rinnig, in der;Busch-H.;C. moorei HOOK. f.1* Bl rinnig, in der;C. moorei HOOK. f.1* Bl rinnig, in der;C. moorei HOOK. f.;C. moorei HOOK. f.;C. moorei f.
Tazette;– N. tazetta L.2* Stg im ∅ rund, (1–)2–5;Tazette;N. tazetta L.2* Stg im ∅ rund, (1–)2–5;N. tazetta L.2* Stg im ∅ rund, (1–)2–5;N. tazetta L.;N. tazetta L.;N. tazetta
Jonquille;– N. jonquilla L.Bem.: Die ähnliche Bins;Jonquille;N. jonquilla L.Bem.: Die ähnliche Bins;N. jonquilla L.Bem.: Die ähnliche Bins;N. jonquilla L.Bem.;N. jonquilla L.Bem.;N. jonquilla
Duft-N.;– N. × odorus L.4 (1) Nebenperigon so lg;Duft-N.;N. × odorus L.4 (1) Nebenperigon so lg;N. × odorus L.4 (1) Nebenperigon so lg;N. × odorus L.;N. × odorus L.;N. odorus
Alpenveilchen-N.;– N. cyclamineus DC.5* Perigonzipfel waa;Alpenveilchen-N.;N. cyclamineus DC.5* Perigonzipfel waa;N. cyclamineus DC.5* Perigonzipfel waa;N. cyclamineus DC.;N. cyclamineus DC.;N. cyclamineus
Reifrock-N.;– N. bulbocodium L.;Reifrock-N.;N. bulbocodium L.;N. bulbocodium L.;N. bulbocodium L.;N. bulbocodium L.;N. bulbocodium
Gelbe N., Osterglocke;– N. pseudonarcissus L.Ähnlich: Unvergle;Gelbe N., Osterglocke;N. pseudonarcissus L.Ähnlich: Unvergle;N. pseudonarcissus L.Ähnlich: Unvergle;N. pseudonarcissus L.;N. pseudonarcissus L.;N. pseudonarcissus
Engelstränen-N.;– N. triandrus L.;Engelstränen-N.;N. triandrus L.;N. triandrus L.;N. triandrus L.;N. triandrus L.;N. triandrus
Dichter-N., Weiße N.;– N. poeticus L.Ähnlich: Stern-N. – N. r;Dichter-N., Weiße N.;N. poeticus L.Ähnlich: Stern-N. – N. r;N. poeticus L.Ähnlich: Stern-N. N. r;N. poeticus L.;N. poeticus L.;N. poeticus
Gelbe St.;– St. lutea (L.) SPRENG.;Gelbe St.;St. lutea (L.) SPRENG.;St. lutea (L.) SPRENG.;St. lutea (L.) SPRENG.;St. lutea (L.) SPRENG.;St. lutea
Fischer-St.;– St. fischeriana (HERB.) M. ROEM.;Fischer-St.;St. fischeriana (HERB.) M. ROEM.;St. fischeriana (HERB.) M. ROEM.;St. fischeriana (HERB.) M. ROEM.;St. fischeriana (HERB.) M. ROEM.;St. fischeriana
Großblütige St;. – St. clusiana (KER GAWL.) SPRENG.;Großblütige St.;St. clusiana (KER GAWL.) SPRENG.;St. clusiana (KER GAWL.) SPRENG.;St. clusiana (KER GAWL.) SPRENG.;St. clusiana (KER GAWL.) SPRENG.;St. clusiana
Breitblättriges Sch.;– G. platyphyllus TRAUBBem.: Unter diese;Breitblättriges Sch.;G. platyphyllus TRAUBBem.: Unter diese;G. platyphyllus TRAUBBem.: Unter diese;G. platyphyllus TRAUBBem.;G. platyphyllus TRAUBBem.;G. platyphyllus
Krasnov-Sch;. – G. krasnovii A. P. KHOKHR.4 (2) Bl v;Krasnov-Sch.;G. krasnovii A. P. KHOKHR.4 (2) Bl v;G. krasnovii A. P. KHOKHR.4 (2) Bl v;G. krasnovii A. P. KHOKHR.;G. krasnovii A. P. KHOKHR.;G. krasnovii
Lagodechi-Sch.;– G. lagodechianus KEM.-NATH.Bem.: G. la;Lagodechi-Sch.;G. lagodechianus KEM.-NATH.Bem.: G. la;G. lagodechianus KEM.-NATH.Bem.: G. la;G. lagodechianus KEM.-NATH.Bem.;G. lagodechianus KEM.-NATH.Bem.;G. lagodechianus
Rizasee-Sch.;– G. rizehensis STERN;Rizasee-Sch.;G. rizehensis STERN;G. rizehensis STERN;G. rizehensis STERN;G. rizehensis STERN;G. rizehensis
Foster-Sch.;– G. fosteri BAKER6* Innere BHüllBl nur ;Foster-Sch.;G. fosteri BAKER6* Innere BHüllBl nur ;G. fosteri BAKER6* Innere BHüllBl nur ;G. fosteri BAKER;G. fosteri BAKER;G. fosteri
Ikaria-Sch.;– G. ikariae BAKERBem.: Unter diesem Nam;Ikaria-Sch.;G. ikariae BAKERBem.: Unter diesem Nam;G. ikariae BAKERBem.: Unter diesem Nam;G. ikariae BAKERBem.;G. ikariae BAKERBem.;G. ikariae
Kaspisches Sch., Transkaukasisches Sch.;– G. transcaucasicus FOMIN9 (1) Bl entwe;Kaspisches Sch., Transkaukasisches Sch.;G. transcaucasicus FOMIN9 (1) Bl entwe;G. transcaucasicus FOMIN9 (1) Bl entwe;G. transcaucasicus FOMIN;G. transcaucasicus FOMIN;G. transcaucasicus
Clusius-Sch., Faltblatt-Sch.;– G. plicatus M. BIEB.;Clusius-Sch., Faltblatt-Sch.;G. plicatus M. BIEB.;G. plicatus M. BIEB.;G. plicatus M. BIEB.;G. plicatus M. BIEB.;G. plicatus
Königin-Olga-Sch.;– G. reginae-olgae ORPH.;Königin-Olga-Sch.;G. reginae-olgae ORPH.;G. reginae-olgae ORPH.;G. reginae-olgae ORPH.;G. reginae-olgae ORPH.;G. reginae-olgae
Peshmen-Sch.;– G. peshmenii A. P. DAVIS et C. D. BRIC;Peshmen-Sch.;G. peshmenii A. P. DAVIS et C. D. BRIC;G. peshmenii A. P. DAVIS et C. D. BRIC;G. peshmenii A. P. DAVIS et C. D. BRIC;G. peshmenii A. P. DAVIS et C. D. BRIC;G. peshmenii
Elwes-Sch.;– G. elwesii HOOK. f.14* Bl vor der Entf;Elwes-Sch.;G. elwesii HOOK. f.14* Bl vor der Entf;G. elwesii HOOK. f.14* Bl vor der Entf;G. elwesii HOOK. f.;G. elwesii HOOK. f.;G. elwesii f.
Zierliches Sch.;– G. gracilis ČELAK.;Zierliches Sch.;G. gracilis ČELAK.;G. gracilis ČELAK.;G. gracilis ČELAK.;G. gracilis ČELAK.;G. gracilis
Koenen-Sch;. – G. koenenianus LOBIN, C. D. BRICKELL;Koenen-Sch.;G. koenenianus LOBIN, C. D. BRICKELL;G. koenenianus LOBIN, C. D. BRICKELL;G. koenenianus LOBIN, C. D. BRICKELL;G. koenenianus LOBIN, C. D. BRICKELL;G. koenenianus
Cilicisches Sch.;– G. cilicicus BAKER17* Bl <0,5 cm br, z;Cilicisches Sch.;G. cilicicus BAKER17* Bl <0,5 cm br, z;G. cilicicus BAKER17* Bl <0,5 cm br, z;G. cilicicus BAKER;G. cilicicus BAKER;G. cilicicus
Schmalblättriges Sch;. – G. angustifolius KOSS18 (16) Innere ;Schmalblättriges Sch.;G. angustifolius KOSS18 (16) Innere ;G. angustifolius KOSS18 (16) Innere ;G. angustifolius KOSS;G. angustifolius KOSS;G. angustifolius
Kaukasus-Sch;. – G. alpinus SOSN.Bem.: Unter dem Name;Kaukasus-Sch.;G. alpinus SOSN.Bem.: Unter dem Name;G. alpinus SOSN.Bem.: Unter dem Name;G. alpinus SOSN.Bem.;G. alpinus SOSN.Bem.;G. alpinus
Rosa K.;– St. lanceolatus (AITON) REVEAL;Rosa K.;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus
Herbst-K.;– C. cancellatus HERB.;Herbst-K.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus
Haarblättrige K.;– L. trichophyllum SCHOUSB.;Haarblättrige K.;L. trichophyllum SCHOUSB.;L. trichophyllum SCHOUSB.;L. trichophyllum SCHOUSB.;L. trichophyllum SCHOUSB.;L. trichophyllum
Nizza-K.;– L. nicaeense ARDOINO;Nizza-K.;L. nicaeense ARDOINO;L. nicaeense ARDOINO;L. nicaeense ARDOINO;L. nicaeense ARDOINO;L. nicaeense
Knoblauch-K.;– T. violacea HARV.;Knoblauch-K.;T. violacea HARV.;T. violacea HARV.;T. violacea HARV.;T. violacea HARV.;T. violacea
Sizilianischer H.;– N. siculum (UCRIA) LINDL.;Sizilianischer H.;N. siculum (UCRIA) LINDL.;N. siculum (UCRIA) LINDL.;N. siculum (UCRIA) LINDL.;N. siculum (UCRIA) LINDL.;N. siculum
Einblütiger F.;– A. subcordatum RAF.;Einblütiger F.;A. subcordatum RAF.;A. subcordatum RAF.;A. subcordatum RAF.;A. subcordatum RAF.;A. subcordatum
Blaue T.;– T. laxa BENTH.;Blaue T.;T. laxa BENTH.;T. laxa BENTH.;T. laxa BENTH.;T. laxa BENTH.;T. laxa
Langstielige T.;– T. peduncularis LINDL.;Langstielige T.;T. peduncularis LINDL.;T. peduncularis LINDL.;T. peduncularis LINDL.;T. peduncularis LINDL.;T. peduncularis
Bär(en)-L.;– A. ursinum L.;Bär(en)-L.;A. ursinum L.;A. ursinum L.;A. ursinum L.;A. ursinum L.;A. ursinum
Allermannsharnisch;– A. victorialis L.3 (1) Pfl mit BSchäft;Allermannsharnisch;A. victorialis L.3 (1) Pfl mit BSchäft;A. victorialis L.3 (1) Pfl mit BSchäft;A. victorialis L.;A. victorialis L.;A. victorialis
Kugelköpfiger L., Purpur-L.;– A. sphaerocephalon L.;Kugelköpfiger L., Purpur-L.;A. sphaerocephalon L.;A. sphaerocephalon L.;A. sphaerocephalon L.;A. sphaerocephalon L.;A. sphaerocephalon
Knoblauch;raukenblättrige G. – C. alliariifolia WI;Knoblauchraukenblättrige G.;C. alliariifolia WI;C. alliariifolia WI;C. alliariifolia WI;C. alliariifolia WI;C. alliariifolia
Perlzwiebel-Gruppe;– (A. porrum L. var. sec-tivum LÜDERS): ;Perlzwiebel-Gruppe;(A. porrum L. var. sec-tivum LÜDERS): ;(A. porrum L. var. sec-tivum LÜDERS): ;(A. porrum L. var. sec-tivum LÜDERS);A. porrum L. var. sec-tivum LÜDERS);A. porrum var. sec-tivum
Gekielter L.;– A. carinatum L.In Kultur nur: Schöner ;Gekielter L.;A. carinatum L.In Kultur nur: Schöner ;A. carinatum L.In Kultur nur: Schöner ;A. carinatum L.In Kultur nur;A. carinatum L.In Kultur nur;A. carinatum
Sikkim-L.;– A. sikkimense BAKERÄhnlich: Dunkelblau;Sikkim-L.;A. sikkimense BAKERÄhnlich: Dunkelblau;A. sikkimense BAKERÄhnlich: Dunkelblau;A. sikkimense BAKER;A. sikkimense BAKER;A. sikkimense
Bees-L.;– A. beesianum W. W. SM.: Kr schmal gloc;Bees-L.;A. beesianum W. W. SM.: Kr schmal gloc;A. beesianum W. W. SM.: Kr schmal gloc;A. beesianum W. W. SM.;A. beesianum W. W. SM.;A. beesianum
Blauer L.;– A. cyaneum REGEL: StaubBl aber deutlic;Blauer L.;A. cyaneum REGEL: StaubBl aber deutlic;A. cyaneum REGEL: StaubBl aber deutlic;A. cyaneum REGEL;A. cyaneum REGEL;A. cyaneum
Graublauer L.;– A. caesium SCHRENK;Graublauer L.;A. caesium SCHRENK;A. caesium SCHRENK;A. caesium SCHRENK;A. caesium SCHRENK;A. caesium
Schnittlauch;– A. schoenoprasum L.Ähnlich: A. altynco;Schnittlauch;A. schoenoprasum L.Ähnlich: A. altynco;A. schoenoprasum L.Ähnlich: A. altynco;A. schoenoprasum L.;A. schoenoprasum L.;A. schoenoprasum
Etagenzwiebel, Luftzwiebel, Catawissazwiebel;– A. × proliferum (MOENCH) SCHRAD.;Etagenzwiebel, Luftzwiebel, Catawissazwiebel;A. × proliferum (MOENCH) SCHRAD.;A. × proliferum (MOENCH) SCHRAD.;A. × proliferum (MOENCH) SCHRAD.;A. × proliferum (MOENCH) SCHRAD.;A. proliferum
Winterzwiebel, Heckenzwiebel;– A. fistulosum L.18* Schaft unterhalb d;Winterzwiebel, Heckenzwiebel;A. fistulosum L.18* Schaft unterhalb d;A. fistulosum L.18* Schaft unterhalb d;A. fistulosum L.;A. fistulosum L.;A. fistulosum
