genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Frauenmantel, Silbermantel, Sinau;Kalkalpen-F.;Alchemilla;A. alpigena;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Färöer-F.;Alchemilla;A. faeroensis;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Schimmernder F.;Alchemilla;A. splendens;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Seidiger F.;Alchemilla;A. sericata;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Weichhaariger F., Bastard-F.;Alchemilla;A. glaucescens;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Kaukasus-F.;Alchemilla;A. caucasica;Z;NA;NA
Fetthenne, Mauerpfeffer;Kaukasus-F.;Sedum;S. spurium;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Gewöhnlicher F., Spitzlappiger F.;Alchemilla;A. vulgaris;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Kahlblättriger F.;Alchemilla;A. epipsila;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Weicher F.;Alchemilla;A. mollis;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Ansehnlicher F.;Alchemilla;A. speciosa;Z;NA;W
Zwergmispel;Fächer-Z.;Cotoneaster;C. horizontalis;Z;NA;W
Zwergmispel;Kleine Z.;Cotoneaster;C. perpusillus;Z;NA;NA
Zwergmispel;Spalier-Z.;Cotoneaster;C. adpressus;Z;NA;NA
Zwergmispel;Nanshan-Z.;Cotoneaster;C. nanshan;Z;NA;NA
Zwergmispel;Waterer-Hybrid-Z.;Cotoneaster;C. × watereri;Z;NA;NA
Zwergmispel;Sargent-Z.;Cotoneaster;C. sargentii;Z;NA;NA
Zwergmispel;Teppich-Z.;Cotoneaster;C. dammeri;Z;NA;W
Zwergmispel;Wurzelnde Z.;Cotoneaster;C. radicans;Z;NA;NA
Zwergmispel;Niederliegende Z.;Cotoneaster;C. procumbens;Z;NA;NA
Zwergmispel;Yunnan-Z.;Cotoneaster;C. cochleatus;Z;NA;NA
Zwergmispel;Kleinblättrige Z.;Cotoneaster;C. microphyllus;Z;NA;NA
Zwergmispel;Bogen-Z.;Cotoneaster;C. conspicuus;Z;NA;NA
Zwergmispel;Schwedische Z.;Cotoneaster;C. suecicus;Z;NA;NA
Scheinhortensie;Blaue Sch.;Deinanthe;D. coerulea;Z;NA;NA
Wachsglocke;Wachsglocke;Kirengeshoma;K. palmata;Z;NA;NA
Hortensie;Garten-H.;Hydrangea;H. macrophylla;Z;NA;NA
Hyazinthe;Garten-H.;Hyacinthus;H. orientalis;Z;NA;NA
Fetthenne, Mauerpfeffer;Kriechtrieb-F.;Sedum;S. sarmentosum;Z;NA;NA
Fetthenne, Mauerpfeffer;Sibirische F;Sedum;S. hybridum;Z;NA;NA
Fetthenne, Mauerpfeffer;Kamtschatka-F.;Sedum;S. kamtschaticum;Z;NA;NA
Fetthenne, Mauerpfeffer;Amur-F.;Sedum;S. selskianum;Z;NA;NA
Fetthenne, Mauerpfeffer;Große F.;Sedum;S. maximum;Z;NA;W
Fetthenne, Mauerpfeffer;Deckblatt-F.;Sedum;S. aizoon;Z;NA;NA
Fetthenne, Mauerpfeffer;Zwergstrauch-F.;Sedum;S. populifolium;Z;NA;NA
Fetthenne, Mauerpfeffer;Behaarte F.;Sedum;S. pilosum;Z;NA;NA
Fetthenne, Mauerpfeffer;Rundblättrige F.;Sedum;S. anacampseros;Z;NA;NA
Fetthenne, Mauerpfeffer;Siebold-F.;Sedum;S. sieboldii;Z;NA;NA
Fetthenne, Mauerpfeffer;Japanische F.;Sedum;S. cauticola;Z;NA;NA
Fetthenne, Mauerpfeffer;Purpur-F.;Sedum;S. telephium;Z;NA;W
Fetthenne, Mauerpfeffer;Prächtige F.;Sedum;S. spectabile;Z;NA;NA
Fetthenne, Mauerpfeffer;Spanische F.;Sedum;S. hispanicum;Z;NA;W
Fetthenne, Mauerpfeffer;Buckel-F.;Sedum;S. dasyphyllum;Z;NA;W
Fetthenne, Mauerpfeffer;Spanische F.;Sedum;S. hispanicum;Z;NA;W
Fetthenne, Mauerpfeffer;Weiße F.;Sedum;S. album;Z;NA;W
Fritillarie, Schachblume, Kaiserkrone;Weiße F.;Fritillaria;F. liliacea;Z;NA;NA
Fetthenne, Mauerpfeffer;Zierliche F.;Sedum;S. forsterianum;Z;NA;W
Fetthenne, Mauerpfeffer;Ockergelbe F.;Sedum;S. ochroleucum;Z;NA;W
Fetthenne, Mauerpfeffer;Nizza-F.;Sedum;S. sediforme;Z;NA;NA
Fetthenne, Mauerpfeffer;Felsen-F., Tripmadam;Sedum;S. rupestre;Z;NA;W
Fetthenne, Mauerpfeffer;Scharfer Mauerpfeffer;Sedum;S. acre;Z;NA;W
Fetthenne, Mauerpfeffer;Milder Mauerpfeffer;Sedum;S. sexangulare;Z;NA;W
Rosenwurz;Rosenwurz;Rhodiola;Rh. Rosea;Z;NA;NA
Hauswurz, Dachwurz;Spinnweben-H.;Sempervivum;S. arachnoideum;Z;NA;W
Hauswurz, Dachwurz;Gelbe H., Wulfen-H.;Sempervivum;S. wulfenii;Z;NA;NA
Hauswurz, Dachwurz;Serpentin-H.;Sempervivum;S. pittonii;Z;NA;NA
Hauswurz, Dachwurz;Dach-H.;Sempervivum;S. tectorum;Z;NA;W
Donarsbart, Fransenhauswurz;Donarsbart, Fransenhauswurz;Jovibarba;J. globifera;Z;NA;W
Echeverie;Langstämmige E.;Echeveria;E. gibbiflora;Z;NA;NA
Echeverie;Peacock-E.;Echeveria;E. peacockii;Z;NA;NA
Echeverie;Derenberg-E.;Echeveria;E. derenbergii;Z;NA;NA
Echeverie;Schöne E.;Echeveria;E. elegans;Z;NA;NA
Walddickblatt, Goldtröpfchen;Kaukasus-W., Goldtröpfchen;Chiastophyllum;Ch. oppositifolium;Z;NA;NA
Prachtspiere;Einfachblättrige P.;Astilbe;A. simplicifolia;Z;NA;NA
Prachtspiere;Bach-P.;Astilbe;A. rivularis;Z;NA;NA
Prachtspiere;Japanische P.;Astilbe;A. japonica;Z;NA;NA
Pestwurz;Japanische P.;Petasites;P. japonicus;Z;NA;NA
Prachtspiere;Thunberg-P.;Astilbe;A. thunbergii;Z;NA;NA
Prachtspiere;Rote P.;Astilbe;A. rubra f.;Z;NA;NA
Schaublatt;Maiapfelblättriges Sch.;Rodgersia;R. podophylla;Z;NA;NA
Schaublatt;Rosskastanienblättriges Sch.;Rodgersia;R. aesculifolia;Z;NA;NA
Schaublatt;Holunderblättriges Sch.;Rodgersia;R. sambucifolia;Z;NA;NA
Schaublatt;Fiederblättriges Sch.;Rodgersia;R. pinnata;Z;NA;NA
