Vernacular_name;Species;Genus;Author
Feigenkaktus;Braundorniger F.;Opuntia;MILL.
Feigenkaktus;Vielstachliger F.;Opuntia;MILL.
Feigenkaktus;Igelartiger F.;Opuntia;MILL.
Malabarspinat;Malabarspinat;Basella;L.
Madeirawein, Basellkartoffel;Madeirawein;Anredera;JUSS.
Wunderblume;Gewöhnliche W.;Mirabilis;L.
Wunderblume;Langröhrige W.;Mirabilis;L.
Abronie, Sandverbene;Doldige A., Rosafarbene Sandverbene;Abronia;JUSS.
Hornkraut;Filziges H.;Cerastium;L.
Hornkraut;Bieberstein-H.;Cerastium;L.
Hornkraut;Reinweißes H.;Cerastium;L.
Hornkraut;Acker-H.;Cerastium;L.
Hornkraut;Großblütiges H.;Cerastium;L.
Nabelmiere;Moos-N.;Moehringia;L.
Sandkraut;Vierkantiges S.;Arenaria;L.
Sandkraut;Rosa S.;Arenaria;L.
Sandkraut;Großblütiges S.;Arenaria;L.
Sandkraut;Berg-S.;Arenaria;L.
Mastkraut;Pfriemen-M., Sternmoos;Sagina;L.
Miere;Grasblättrige M.;Minuartia;L.
Miere;Frühlings-M., Kupferblümchen;Minuartia;L.
Miere;Nadelblättrige M.;Minuartia;L.
Gipskraut;Acker-G.;Gypsophila;L.
Gipskraut;Ansehnliches G.;Gypsophila;L.
Gipskraut;Rispiges G., Schleierkraut;Gypsophila;L.
Gipskraut;Pazifik-Schleierkraut;Gypsophila;L.
Gipskraut;Polster-G.;Gypsophila;L.
Gipskraut;Hornkrautähnliches G.;Gypsophila;L.
Gipskraut;Schmalblättriges G.;Gypsophila;L.
Gipskraut;Kriechendes G.;Gypsophila;L.
Gipskraut;Felsen-G.;Gypsophila;L.
Seifenkraut;Kalabrisches S.;Saponaria;L.
Seifenkraut;Gänseblümchenblättriges S.;Saponaria;L.
Seifenkraut;Gelbes S.;Saponaria;L.
Seifenkraut;Niedriges S.;Saponaria;L.
Seifenkraut;Echtes S.;Saponaria;L.
Seifenkraut;Haussknecht-S.;Saponaria;L.
Seifenkraut;Rasenbildendes S.;Saponaria;L.
Seifenkraut;Rotes S.;Saponaria;L.
Kuhnelke, Kuhkraut;Saat-K.;Vaccaria;WOLF
Felsennelke;Steinbrech-F.;Petrorhagia;(SER.
Nelke;Schwefel-N.;Dianthus;L.
Nelke;Bart-N.;Dianthus;L.
Nelke;Blutrote N.;Dianthus;L.
